44:f4:36:c7:f3:1a,114,329
9c:9d:7e:1c:e4:8d,114,212
b4:1c:30:ad:df:98,113,181
64:6e:97:2f:97:6e,113,22
c4:51:8d:20:34:e0,112,554
f0:92:b4:3f:29:d1,112,196
80:9f:9b:f0:3e:7f,108,203
18:31:bf:ad:ee:08,108,151
44:f4:36:c7:f2:c6,107,242
18:31:bf:ad:ee:09,107,190
98:f1:81:d3:67:14,107,72
10:c1:72:42:2d:20,103,251
44:f4:36:c7:f4:52,102,264
c4:51:8d:20:1d:20,102,252
9c:9d:7e:89:76:a8,102,199
98:f1:81:d3:67:16,101,70
90:12:34:54:85:ac,101,36
c4:51:8d:20:1d:a0,100,182
c4:51:8d:20:21:c0,100,158
78:c5:f8:d7:7c:ff,99,226
98:f1:81:d3:f3:e1,99,68
bc:d1:77:b4:b8:22,96,217
98:f1:81:d3:f3:e3,96,71
18:31:bf:ad:ee:0c,94,12
c4:51:8d:20:3c:80,93,214
78:eb:14:f2:5c:be,92,308
56:75:95:d4:be:81,91,105
c4:51:8d:20:26:70,90,268
80:89:17:71:d9:52,89,286
3a:bc:1a:41:09:e7,89,206
f0:92:b4:3f:5c:89,88,146
44:f4:36:c7:eb:a6,85,154
c4:51:8d:20:67:80,84,189
88:11:96:b0:04:03,84,133
c4:51:8d:20:1e:50,82,242
c4:51:8d:20:3a:b0,82,129
c4:51:8d:20:32:d0,80,253
c4:51:8d:20:92:d0,80,155
c4:51:8d:20:25:80,79,276
62:45:b5:0a:6b:ff,79,135
e4:a7:c5:c7:6e:18,78,274
88:c3:97:dc:ae:7d,78,251
c4:51:8d:20:37:b0,78,228
f0:92:b4:34:01:c9,76,120
d4:5f:25:08:b7:25,76,70
44:f4:36:c8:06:e2,75,307
b4:43:26:ed:25:68,75,49
d4:5f:25:12:42:1e,72,128
c4:51:8d:20:35:50,71,267
44:f4:36:c7:f7:e8,71,190
60:3a:7c:49:b7:69,69,330
18:44:e6:a3:45:c2,68,197
86:ef:18:0d:d7:8e,68,164
c4:51:8d:20:4c:c0,65,180
c4:51:8d:20:27:90,64,230
38:21:87:ae:39:9c,64,117
f0:92:b4:3f:62:a1,59,132
44:f4:36:c8:0d:36,58,240
58:60:5f:c9:74:dc,58,190
50:bd:5f:24:65:4a,58,189
80:ea:07:4b:09:a3,56,18
c4:51:8d:20:1f:70,55,165
44:f4:36:c7:fa:e8,54,160
4a:ff:28:01:08:eb,54,116
c4:51:8d:20:23:00,53,214
50:2b:73:d4:61:66,50,370
20:76:93:32:56:00,50,120
c4:51:8d:20:35:b0,50,111
e2:22:86:99:71:4e,50,30
18:44:e6:a3:40:c4,49,240
44:f4:36:c8:05:c2,49,215
c4:51:8d:20:94:60,49,179
94:e9:ee:64:ce:46,49,62
18:44:e6:a3:52:f4,48,278
06:69:6c:73:c4:33,48,79
44:f4:36:c7:e0:de,47,136
dc:fe:18:16:07:1c,47,20
c4:51:8d:20:34:a0,46,195
56:75:95:a4:be:81,45,272
86:ef:18:48:64:4e,45,93
70:af:6a:1a:ea:5f,44,98
78:44:fd:4c:46:0e,43,205
c4:51:8d:20:96:e0,41,207
94:e9:ee:f4:ce:46,41,70
74:c3:30:e3:2a:96,41,54
e4:f3:f5:48:ae:5e,40,72
54:75:95:eb:a2:74,38,132
80:c7:c5:d8:77:d7,38,69
